TestCaseName,BrowserOS,UseThisData,Remarks,URL,UserName,PassWord,FullName,SiteName,SiteDescription,SiteTemplateName,SiteTemplateDescription,NewSiteName,RemoteIP,RemotePort,RemoteID,PageName,Template,Type,PageTemplateName,TestDataX
QAtestCMS_3,,True,Login as Administrator,https://portal.int.rnd.covisint.com/home,qatester1,test1234,QA TesterOne,,,,,,,,,,,,,
QAtestCMS_5,,True,Login as Power User,https://portal.int.rnd.covisint.com/home,lance03,test1234,Lance Yan,,,,,,,,,,,,,
QAtestCMS_6,,True,Add Default Blank Site (Live),,,,,Auto_Site_CMS_6_live_1,Add default blank Site.(auto),,,,,,,,,,,
QAtestCMS_98,,True,Add a Site template with default values,,,,,,,Auto_SiteTemplate_CMS_98_default_1,Add a Site template with default values.(auto),,,,,,,,,
QAtestCMS_101,,True,Add a Site Page template  with default  values,,,,,,,,,,,,,,,,Auto_PageTemplate_CMS_101_default_1,
QAtestCMS_72,,True,Edit Details of Site,,,,,Auto_Site_CMS_72_live_1,,,,Auto_Site_CMS_72_live_2,,,,,,,,
QAtestCMS_74,,True,Edit Staging of Site to Remote live,,,,,Auto_Site_CMS_74_live_1,Add default blank Site for staging editing test.(auto),,,Auto_Site_CMS_74_staging,127.0.0.1,12480,17673,,,,,
QAtestCMS_7,,True,Add Blog page via Menu Bar,,,,,Auto_Site_CMS_74_staging,,,,,,,,Blog_toolbar_1,Blog,,,
QAtestCMS_8,,True,Add Content Display Page via Menu Bar,,,,,Auto_Site_CMS_74_staging,,,,,,,,ContentDisplay_toolbar_1,Content Display Page,,,
QAtestCMS_9,,True,Add Wiki page via Menu Bar,,,,,Auto_Site_CMS_74_staging,,,,,,,,Wiki_toolbar_1,Wiki,,,
QAtestCMS_11,,True,Add Blog page via Control Panel,,,,,Auto_Site_CMS_72_live_2,,,,,,,,Blog_control_1,Blog,,,
QAtestCMS_12,,True,Add Content Display Page via Control Panel,,,,,Auto_Site_CMS_72_live_2,,,,,,,,ContentDisplayPage_control_1,Content Display Page,,,
QAtestCMS_13,,True,Add Wiki page via Control Panel,,,,,Auto_Site_CMS_72_live_2,,,,,,,,Wiki_control_1,Wiki,,,
QAtestCMS_14,,True,Add Portlet page via Control Panel,,,,,Auto_Site_CMS_74_staging,,,,,,,,Portlet_control_1,,Portlet,,
QAtestCMS_15,,True,Add Panel page via Control Panel,,,,,Auto_Site_CMS_74_staging,,,,,,,,Panel_control_1,,Panel,,
QAtestCMS_16,,True,Add Embedded page via Control Panel,,,,,Auto_Site_CMS_74_staging,,,,,,,,Embedded_control_1,,Embedded,,
QAtestCMS_17,,True,Add URL page via Control Panel,,,,,Auto_Site_CMS_74_staging,,,,,,,,URL_control_1,,URL,,
QAtestCMS_18,,True,Add Link to Page page via Control Panel,,,,,Auto_Site_CMS_74_staging,,,,,,,,LinktoPage_control_1,,Link to Page,,
QAtestCMS_21,,True,Add Child page,,,,,Auto_Site_CMS_74_staging,,,,,,,,Child_Portlet_1,,Portlet,,Portlet_control_1
QAtestCMS_22,,True,Add Private page,,,,,Auto_Site_CMS_74_staging,,,,,,,,Private_Portlet_1,,Portlet,,
QAtestCMS_23,,True,Move page from pulic to private or vice verse,,,,,Auto_Site_CMS_74_staging,,,,,,,,URL_control_1,,,,
QAtestCMS_25,,True,Export pages to a lar file,,,,,Auto_Site_CMS_74_staging,,,,,,,,,,,,
QAtestCMS_26,,True,Import pages from a lar file,,,,,Auto_Site_CMS_74_staging,,,,,,,,,,,,
QAtestCMS_94,,True,Add Blank page via Menu Bar,,,,,Auto_Site_CMS_74_staging,,,,,,,,Blank_toolbar_1,,,,
QAtestCMS_143,,True,Add localized HTML Title for page,,,,,Auto_Site_CMS_74_staging,,,,,,,,Portlet_control_1,,,,Portlet_HTML_TITLE
